epoch,epochs,time_s,lr,train_loss,train_rec_loss,train_slope_loss,train_curvature_loss,train_mae,train_rmse,train_vp_mae,train_vs_mae,train_rho_mae,train_vp_rmse,train_vs_rmse,train_rho_rmse,val_loss,val_rec_loss,val_slope_loss,val_curvature_loss,val_mae,val_rmse,val_vp_mae,val_vs_mae,val_rho_mae,val_vp_rmse,val_vs_rmse,val_rho_rmse,selection_score,is_best
1,24,468.66096591949463,0.00019914876370669414,0.36903513973236085,0.3686742293834686,0.006606128169894219,0.0030603813430666923,0.3204004499912262,0.46964780398368833,0.5269678178787232,0.30454668156623843,0.12968682263851167,0.6883784824752808,0.3976059926223755,0.17239224259376526,0.3273892719298601,0.3271291758865118,0.005143191418028437,0.000293479286483489,0.29205914307385683,0.44479870703071356,0.48028025310486555,0.27844116650521755,0.11745596560649574,0.6521244999021292,0.3773087477311492,0.1608864231966436,0.3273892719298601,True
2,24,464.4106822013855,0.00019660961971576228,0.3095501739788055,0.3092625403499603,0.005493217891603708,0.001297296274267137,0.2812067712688446,0.4239725817871094,0.46167240020751954,0.26875761154174804,0.11319027307510376,0.6205790753555298,0.3604582887649536,0.15551000626564027,0.3026154818944633,0.3023634781129658,0.004989935550838709,0.0002505873530935787,0.27644025394693017,0.418433777987957,0.45469809975475073,0.26476394571363926,0.10985868563875556,0.6123730726540089,0.35588796995580196,0.15353769529610872,0.3026154818944633,True
3,24,464.89071393013,0.000192426013484873,0.29199581582546236,0.291727237830162,0.00519881666123867,0.0008637373516336084,0.2693266612625122,0.40984728627204897,0.441909515914917,0.25786331130981444,0.10820712773799897,0.599604599571228,0.34896180532455445,0.15033054155349732,0.2901958771981299,0.28994778310880065,0.004912006712402217,0.00024927571894295397,0.2656815107911825,0.4119007168337703,0.43683918938040733,0.2549391523934901,0.10526616405695677,0.6026944573968649,0.35038401652127504,0.15149030881002545,0.2901958771981299,True
4,24,464.8872420787811,0.00018666952767655164,0.2808016607475281,0.28054361124038696,0.005033001754283905,0.0006399441950209439,0.2615131740951538,0.4011668664455414,0.4288990982723236,0.250707390832901,0.10493300585985184,0.586727654056549,0.3419059021282196,0.14707146727085113,0.2799124959856272,0.2796672503463924,0.004857614316279069,0.0002366361368331127,0.2593319294974208,0.4016763037070632,0.4257665565237403,0.24896606896072626,0.10326313530094922,0.5874234884977341,0.34218931943178177,0.14778074994683266,0.2799124959856272,True
5,24,465.10246777534485,0.00017943865735897788,0.27369619813919066,0.2734445466661453,0.004932175893187523,0.000504261828288436,0.25674082333564757,0.3953320207691193,0.42097603527069094,0.24636704775810242,0.10287936200141906,0.5780506151390076,0.337216668176651,0.14483938032865523,0.2823554193601012,0.2821113299578428,0.004833994680666365,0.00023903691726445686,0.2627442120574415,0.40296979807317257,0.4329978758469224,0.25290309824049473,0.10233163530938327,0.5896851383149624,0.3434568354859948,0.14643644774332643,0.2823554193601012,False
6,24,467.0180780887604,0.00017085712472806146,0.26802444534301756,0.2677772049236298,0.004860088773965835,0.00042363880690187214,0.252688645029068,0.3907484363555908,0.4141759662437439,0.2426521506881714,0.10123779495716095,0.5712475134849548,0.3334814431190491,0.14315985725402833,0.27164396503940225,0.27140172477811575,0.004795433647814207,0.0002469465148351446,0.25484839640557766,0.3949418729171157,0.41871415078639984,0.24514566315338016,0.1006853545550257,0.5775652406737208,0.33673154935240746,0.14471573079936206,0.27164396503940225,True
7,24,465.7288110256195,0.0001610717621863677,0.26288120050430297,0.26263781450271606,0.0047935005451738835,0.0003710855917073786,0.24908598499298096,0.3865474908542633,0.4082202359008789,0.23933612644195557,0.09970157244443893,0.5650387300491333,0.33003791703224183,0.14155720901966096,0.25541599560528994,0.2551772673614323,0.004727601757622324,0.00023472178554584389,0.24180201161652803,0.3823397718369961,0.3964335061609745,0.23290091287344694,0.0960715978872031,0.558653200045228,0.3267866773530841,0.1401549626607448,0.25541599560528994,True
8,24,469.3771319389343,0.00015025,0.25776408787727356,0.25752389719963076,0.004736238877922297,0.000337851350158453,0.2455143789958954,0.3823103749847412,0.40226160870552063,0.23606552726745605,0.09821597852230073,0.5587621148490906,0.32658008730888366,0.13996368846893312,0.25215360149741173,0.25191844953224063,0.0046566355813411064,0.0002321063616363972,0.24085521046072245,0.3763149091973901,0.39457147009670734,0.23196773370727897,0.0960264012683183,0.5496695069596171,0.32162057515233755,0.13870734442025423,0.25215360149741173,True
9,24,518.857715845108,0.00013857700152032642,0.2540895090484619,0.25385185579776764,0.004689760757088661,0.00031652255350723865,0.2428225758266449,0.3788962651634216,0.39776611018180846,0.23357073826789856,0.09713085935115814,0.5536856819725037,0.3237679509830475,0.13881400257110596,0.24964317912235856,0.2494084406644106,0.004647257461328991,0.00023776165289746132,0.23897007713094354,0.37473955750465393,0.39153340365737677,0.230125586502254,0.095251226099208,0.5475228661671281,0.32034186739474535,0.13736058305948973,0.24964317912235856,True
10,24,493.03643798828125,0.0001262524949877008,0.2501245001602173,0.24988897104263305,0.00465020749643445,0.00030189775744453073,0.23988753682136535,0.3757005648136139,0.3928151838588715,0.23086327566623688,0.09598413356542587,0.5489295805549621,0.32114883987426757,0.13772640227794647,0.24491793476045132,0.24468411086127162,0.004629369504982606,0.00023526826680608792,0.23576752422377467,0.3721341798081994,0.3861659485846758,0.2271985188126564,0.09393808897584677,0.5437750918790698,0.318353564478457,0.13560833875089884,0.24491793476045132,True
11,24,497.86129093170166,0.00011348735612589514,0.2456940875148773,0.2454606258201599,0.004610934483110904,0.0002914898318983614,0.23683100980758667,0.3720975928974152,0.38778117349624636,0.22807443714141845,0.09463740070819855,0.5436219853782653,0.31823257221221923,0.1361939881658554,0.25345596158877015,0.2532229386270046,0.004611914795532357,0.00024284148048536736,0.2411369113251567,0.3803001129999757,0.39562209881842136,0.23248489201068878,0.09530373010784388,0.5556521750986576,0.32464043889194727,0.14041364449076355,0.25345596158877015,False
12,24,519.3401868343353,0.00010049999999999999,0.24229330256462098,0.24206160235881805,0.004577185994833708,0.00028410228250548244,0.2343229737710953,0.36903492146492006,0.3835736594581604,0.22578503291130067,0.09361021227359771,0.5390667508792877,0.3157275063610077,0.13513018855810166,0.23798589408397675,0.23775623925030231,0.004544313924270682,0.00024380510058108484,0.23105356935411692,0.3638118552044034,0.3781226174905896,0.22287276620045304,0.09216530760750175,0.5312054771929979,0.3114694934338331,0.13365327450446784,0.23798589408397675,True
13,24,477.8629858493805,8.751264387410486e-05,0.2389716977882385,0.23874134632110597,0.0045511868219077585,0.0002792091957107186,0.23198659759521484,0.3666267249965668,0.3797053793334961,0.2236282478427887,0.09262614901542664,0.5355292676925659,0.3137390881919861,0.13415460701465606,0.23301147436723113,0.23278240347281098,0.0045310360510484315,0.0002519073209441558,0.2278236267156899,0.3612989950925112,0.3732776949182153,0.22020966419950128,0.08998350892215967,0.5278648706153035,0.30951719265431166,0.13093347591347992,0.23301147436723113,True
14,24,471.28933095932007,7.474750501229919e-05,0.23505594597816468,0.23482711523532868,0.004521400801837445,0.00027606670648790897,0.22917873755931853,0.3630493109512329,0.37498803922653196,0.2210653529405594,0.09148280366182328,0.5302021520042419,0.31088487681388854,0.13276697952270508,0.22741597658023238,0.22718947799876332,0.004481475712964311,0.00024238700643763877,0.22385691525414586,0.35627783741801977,0.36668984312564135,0.2164382953196764,0.08844259032048285,0.5201591132208705,0.30546641536056995,0.1300258121918887,0.22741597658023238,True
15,24,465.40842509269714,6.242299847967358e-05,0.23175884616851808,0.23153106519699096,0.004500788192600012,0.00027416008869186046,0.22677081998825074,0.36012300461769103,0.3709210540771484,0.21884741713523864,0.09054397241115571,0.5258270578956604,0.3084982280635834,0.13182360421657563,0.22822824120521545,0.22799925738945603,0.0045272414208739065,0.00026217815684503876,0.22337765898555517,0.3584316074848175,0.36584689747542143,0.21611726051196456,0.08816879242658615,0.5233002342283726,0.3072936097159982,0.13086492335423827,0.22822824120521545,False
16,24,472.89168405532837,5.0750000000000014e-05,0.22828519731521607,0.22805863415718078,0.004476492282897234,0.0002738901613373309,0.22424160975456237,0.35757153326034546,0.3667290685081482,0.21654738931655884,0.08944835454463959,0.5220622192668914,0.3064509048461914,0.13071973445892335,0.22941939625889063,0.22919233283028007,0.004492476931773126,0.00024394037427555304,0.2235992131754756,0.3609300684183836,0.3660711608827114,0.21630914229899645,0.08841732679866254,0.5271330280229449,0.30931032076478004,0.13131509837694466,0.22941939625889063,False
17,24,465.68575620651245,3.9928237813632286e-05,0.2261227565050125,0.22589739655017851,0.004452755529731512,0.00027222810347564516,0.2225507755470276,0.3554823075580597,0.36386758813858033,0.21495591680526732,0.08882880526065827,0.5189438025665283,0.30471683562278745,0.13009013565063476,0.22950097918510437,0.22927402099594474,0.004488473787205294,0.00025342612752865534,0.22381176240742207,0.3602445153519511,0.3663384011015296,0.21635819785296917,0.08873868058435619,0.5261206980794668,0.3085180725902319,0.13158094906248152,0.22950097918510437,False
18,24,475.84688782691956,3.0142875271938526e-05,0.2226230919456482,0.22239847769737245,0.004437816646397114,0.0002723034962033853,0.22016861981391908,0.35237875445365907,0.35991759798049927,0.2128106914329529,0.0877775546836853,0.5143326065063477,0.30226886640548706,0.12877836780548096,0.21845951676368713,0.21823524124920368,0.004435757495230064,0.00024842797301971586,0.21636127401143312,0.35072230640798807,0.3536854758858681,0.20943951420485973,0.08595880959182978,0.5120544377714396,0.30109232012182474,0.12702202680520713,0.21845951676368713,True
19,24,478.97656297683716,2.156134264102211e-05,0.22102337824821472,0.22079967321395874,0.004419682485312224,0.00027209242939017715,0.21891413449287414,0.3510359841156006,0.35781503108978274,0.2116620505285263,0.08726530614852905,0.5123440695381165,0.3011408312702179,0.12835062295436858,0.21949391905218363,0.21926983585581183,0.004431959372595884,0.0002485789646016201,0.21676685567945242,0.35107928421348333,0.3545061908662319,0.20997681701555848,0.08581754215992987,0.5123985363170505,0.30117962043732405,0.12838377198204398,0.21949391905218363,False
20,24,473.3841869831085,1.4330472323448348e-05,0.21702105003833772,0.2167982377052307,0.004401774622350931,0.0002723662109579891,0.2161542261505127,0.34761182686805725,0.35321873151779176,0.20913308847427367,0.08611084394454956,0.507236930065155,0.29843074849128726,0.12699585253238677,0.21757090091705322,0.21734753670170903,0.004418822820298374,0.00024217741884058341,0.21592854941263795,0.35083466488868,0.35330876614898443,0.20939244888722897,0.0850844201631844,0.5123096434399486,0.3011606568470597,0.12677619676105678,0.21757090091705322,True
21,24,466.7479600906372,8.573986515126968e-06,0.2154053628253937,0.21518310056209564,0.004390752173215151,0.0002724464188329875,0.21491476309776306,0.34624340549468996,0.3511126542377472,0.20797756166934966,0.08565405878782273,0.505190276374817,0.2973065317440033,0.1265796300673485,0.21795830968767405,0.21773514710366726,0.004413697628478985,0.00024773673840172705,0.21535646403208375,0.34959457255899906,0.3519126633182168,0.20853893319144845,0.08561778673902154,0.5102049093693495,0.29996066400781274,0.12782839522697031,0.21795830968767405,False
