subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
10,109.083333,42.337500,2.0,2.80816,2.33200,3.18638,0.38742,39
10,109.083333,42.337500,5.0,3.01342,2.64366,3.28411,0.32810,39
10,109.083333,42.337500,10.0,2.96218,2.55650,3.27179,0.31445,39
10,109.083333,42.337500,20.0,3.73295,3.47033,3.95194,0.28053,39
10,109.083333,42.337500,40.0,3.44354,3.23346,3.70277,0.24498,39
10,109.083333,42.337500,60.0,3.27401,3.21591,3.35392,0.06508,39
10,109.083333,42.337500,80.0,3.52510,3.50441,3.54659,0.02279,39
10,109.083333,42.337500,100.0,3.55436,3.53639,3.57064,0.02399,39
11,109.250000,41.212500,2.0,2.87099,2.49721,3.42858,0.44019,39
11,109.250000,41.212500,5.0,3.10377,2.72556,3.50551,0.37950,39
11,109.250000,41.212500,10.0,3.37071,2.95424,3.65055,0.37155,39
11,109.250000,41.212500,20.0,4.06737,3.73931,4.44457,0.35271,39
11,109.250000,41.212500,40.0,3.28176,3.10751,3.52229,0.23929,39
11,109.250000,41.212500,60.0,3.31914,3.26015,3.37669,0.06939,39
11,109.250000,41.212500,80.0,3.52847,3.50240,3.55424,0.02547,39
11,109.250000,41.212500,100.0,3.55705,3.54344,3.57569,0.02261,39
12,109.250000,41.337500,2.0,2.77884,2.41194,3.23069,0.41329,39
12,109.250000,41.337500,5.0,2.96704,2.71717,3.29723,0.29799,39
12,109.250000,41.337500,10.0,3.17882,2.85471,3.59330,0.42926,39
12,109.250000,41.337500,20.0,3.77586,3.57787,4.15310,0.30198,39
12,109.250000,41.337500,40.0,3.19392,2.99144,3.47812,0.23527,39
12,109.250000,41.337500,60.0,3.27624,3.22385,3.31997,0.06551,39
12,109.250000,41.337500,80.0,3.52472,3.49806,3.54636,0.02328,39
12,109.250000,41.337500,100.0,3.54750,3.53163,3.57260,0.02550,39
13,109.250000,41.462500,2.0,2.86989,2.41626,3.32516,0.46484,39
13,109.250000,41.462500,5.0,3.09068,2.74509,3.36747,0.32506,39
13,109.250000,41.462500,10.0,3.12448,2.79232,3.52151,0.38325,39
13,109.250000,41.462500,20.0,3.81793,3.54578,4.13631,0.31661,39
13,109.250000,41.462500,40.0,3.24637,3.08349,3.48554,0.21206,39
13,109.250000,41.462500,60.0,3.29489,3.25022,3.34580,0.05774,39
13,109.250000,41.462500,80.0,3.52607,3.50795,3.54992,0.02154,39
13,109.250000,41.462500,100.0,3.55303,3.53245,3.56597,0.01797,39
14,109.250000,41.587500,2.0,2.97781,2.47007,3.33631,0.46430,39
14,109.250000,41.587500,5.0,2.96721,2.65780,3.28263,0.31840,39
14,109.250000,41.587500,10.0,3.04350,2.72780,3.31421,0.31391,39
14,109.250000,41.587500,20.0,3.79422,3.49219,4.03082,0.25962,39
14,109.250000,41.587500,40.0,3.03097,2.92392,3.23486,0.14975,39
14,109.250000,41.587500,60.0,3.26149,3.23414,3.30184,0.04502,39
14,109.250000,41.587500,80.0,3.52194,3.50698,3.53955,0.01927,39
14,109.250000,41.587500,100.0,3.55198,3.53873,3.57071,0.01607,39
15,109.250000,41.712500,2.0,2.76236,2.39653,3.22978,0.40460,39
15,109.250000,41.712500,5.0,2.93188,2.56803,3.15146,0.29577,39
15,109.250000,41.712500,10.0,2.94010,2.66290,3.36065,0.34211,39
15,109.250000,41.712500,20.0,3.69871,3.35212,4.06856,0.30133,39
15,109.250000,41.712500,40.0,3.06846,2.97376,3.22305,0.21736,39
15,109.250000,41.712500,60.0,3.26637,3.22309,3.31250,0.04556,39
15,109.250000,41.712500,80.0,3.52190,3.49937,3.54580,0.02130,39
15,109.250000,41.712500,100.0,3.55470,3.54128,3.57181,0.02422,39
