subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
45,109.750000,41.712500,20.0,3.68801,3.50503,4.03962,0.25665,39
45,109.750000,41.712500,40.0,2.97094,2.89911,3.10432,0.12674,39
45,109.750000,41.712500,60.0,3.27169,3.23421,3.32701,0.04523,39
45,109.750000,41.712500,80.0,3.51363,3.50208,3.53237,0.01977,39
45,109.750000,41.712500,100.0,3.55026,3.53144,3.56752,0.02042,39
46,109.750000,41.837500,2.0,2.76049,2.38103,3.04005,0.39146,39
46,109.750000,41.837500,5.0,2.99420,2.62262,3.29552,0.30232,39
46,109.750000,41.837500,10.0,3.11059,2.67894,3.50921,0.38243,39
46,109.750000,41.837500,20.0,3.65112,3.38826,3.96106,0.28710,39
46,109.750000,41.837500,40.0,3.05253,2.93894,3.18390,0.14944,39
46,109.750000,41.837500,60.0,3.26468,3.23123,3.30624,0.03826,39
46,109.750000,41.837500,80.0,3.51928,3.49736,3.54145,0.02247,39
46,109.750000,41.837500,100.0,3.54544,3.53294,3.56779,0.01969,39
47,109.750000,41.962500,2.0,2.84684,2.43440,3.20090,0.41711,39
47,109.750000,41.962500,5.0,2.96413,2.66942,3.21101,0.26980,39
47,109.750000,41.962500,10.0,3.06875,2.72794,3.48411,0.36829,39
47,109.750000,41.962500,20.0,3.82769,3.51646,4.04151,0.27600,39
47,109.750000,41.962500,40.0,2.96520,2.88639,3.06973,0.13070,39
47,109.750000,41.962500,60.0,3.26429,3.22369,3.31002,0.04537,39
47,109.750000,41.962500,80.0,3.51513,3.49853,3.53510,0.02079,39
47,109.750000,41.962500,100.0,3.55212,3.53226,3.56943,0.02057,39
48,109.750000,42.087500,2.0,2.75807,2.44823,3.28581,0.47375,39
48,109.750000,42.087500,5.0,2.98777,2.71487,3.34052,0.30127,39
48,109.750000,42.087500,10.0,3.22447,2.81362,3.57149,0.37891,39
48,109.750000,42.087500,20.0,3.73939,3.49201,4.10876,0.28609,39
48,109.750000,42.087500,40.0,2.97213,2.87817,3.18386,0.18153,39
48,109.750000,42.087500,60.0,3.24955,3.19646,3.30751,0.04810,39
48,109.750000,42.087500,80.0,3.51094,3.49088,3.52822,0.01898,39
48,109.750000,42.087500,100.0,3.55107,3.53334,3.57235,0.02009,39
49,109.750000,42.212500,2.0,2.70762,2.27501,3.05633,0.40425,39
49,109.750000,42.212500,5.0,2.92645,2.59603,3.16385,0.30607,39
49,109.750000,42.212500,10.0,3.07290,2.84004,3.48564,0.31600,39
49,109.750000,42.212500,20.0,3.61787,3.38090,3.90739,0.23395,39
49,109.750000,42.212500,40.0,3.02871,2.92900,3.18327,0.16869,39
49,109.750000,42.212500,60.0,3.24042,3.20511,3.27462,0.04143,39
49,109.750000,42.212500,80.0,3.51777,3.50117,3.53427,0.01711,39
49,109.750000,42.212500,100.0,3.53754,3.52432,3.56249,0.01984,39
50,109.750000,42.337500,2.0,2.69221,2.27753,3.18963,0.42509,39
50,109.750000,42.337500,5.0,2.79183,2.48328,3.26853,0.35784,39
50,109.750000,42.337500,10.0,3.18731,2.76793,3.52002,0.38521,39
50,109.750000,42.337500,20.0,3.75179,3.36307,4.04629,0.33601,39
50,109.750000,42.337500,40.0,2.89979,2.82565,3.06085,0.12853,39
50,109.750000,42.337500,60.0,3.21888,3.18345,3.27240,0.04477,39
50,109.750000,42.337500,80.0,3.51017,3.49345,3.52575,0.01955,39
50,109.750000,42.337500,100.0,3.55431,3.53319,3.57941,0.02667,39
51,109.916667,41.212500,2.0,3.05709,2.41117,3.63075,0.58275,39
51,109.916667,41.212500,5.0,3.26193,2.86868,3.63565,0.35887,39
51,109.916667,41.212500,10.0,3.66343,3.20490,4.10018,0.43853,39
51,109.916667,41.212500,20.0,3.79979,3.55582,4.21216,0.36690,39
51,109.916667,41.212500,40.0,3.00569,2.86242,3.21958,0.18583,39
51,109.916667,41.212500,60.0,3.33622,3.28201,3.44604,0.09914,39
51,109.916667,41.212500,80.0,3.54188,3.51018,3.61267,0.06893,39
51,109.916667,41.212500,100.0,3.60756,3.58170,3.66193,0.03814,39
52,109.916667,41.337500,2.0,2.80655,2.34736,3.38713,0.49657,39
52,109.916667,41.337500,5.0,3.05922,2.76541,3.39045,0.31340,39
52,109.916667,41.337500,10.0,3.51566,3.01576,3.84848,0.39558,39
52,109.916667,41.337500,20.0,3.78969,3.52551,4.07070,0.31133,39
52,109.916667,41.337500,40.0,2.96916,2.87852,3.11447,0.13016,39
52,109.916667,41.337500,60.0,3.25730,3.22243,3.32539,0.05304,39
52,109.916667,41.337500,80.0,3.50568,3.48777,3.53833,0.02361,39
52,109.916667,41.337500,100.0,3.56589,3.55202,3.59843,0.02635,39
53,109.916667,41.462500,2.0,2.76807,2.33111,3.18278,0.45687,39
53,109.916667,41.462500,5.0,2.95455,2.71004,3.17798,0.30345,39
53,109.916667,41.462500,10.0,3.26138,2.84871,3.56291,0.38378,39
53,109.916667,41.462500,20.0,3.83686,3.50633,4.16524,0.29855,39
53,109.916667,41.462500,40.0,2.98381,2.86402,3.18213,0.16520,39
53,109.916667,41.462500,60.0,3.24597,3.21716,3.27685,0.03548,39
53,109.916667,41.462500,80.0,3.51381,3.49792,3.53802,0.02203,39
53,109.916667,41.462500,100.0,3.55774,3.53877,3.57965,0.02316,39
54,109.916667,41.587500,2.0,2.65455,2.21432,3.16832,0.46916,39
54,109.916667,41.587500,5.0,2.83664,2.63374,3.12299,0.25598,39
54,109.916667,41.587500,10.0,3.08900,2.77876,3.51060,0.35714,39
54,109.916667,41.587500,20.0,3.82985,3.56009,4.03663,0.24139,39
54,109.916667,41.587500,40.0,3.00620,2.91127,3.17294,0.14087,39
54,109.916667,41.587500,60.0,3.24790,3.20686,3.30176,0.05196,39
54,109.916667,41.587500,80.0,3.52084,3.50775,3.53698,0.01779,39
54,109.916667,41.587500,100.0,3.55609,3.53823,3.57918,0.02439,39
55,109.916667,41.712500,2.0,2.69645,2.31010,3.03717,0.37598,39
55,109.916667,41.712500,5.0,2.88050,2.55966,3.14929,0.31345,39
55,109.916667,41.712500,10.0,3.09677,2.67117,3.59701,0.39637,39
55,109.916667,41.712500,20.0,3.81059,3.43320,4.09263,0.32026,39
55,109.916667,41.712500,40.0,3.03386,2.88532,3.31037,0.19229,39
55,109.916667,41.712500,60.0,3.25247,3.20689,3.30068,0.04566,39
55,109.916667,41.712500,80.0,3.51582,3.49439,3.53661,0.02142,39
55,109.916667,41.712500,100.0,3.55207,3.53534,3.57430,0.02534,39
56,109.916667,41.837500,2.0,2.67947,2.24912,3.12296,0.44678,39
56,109.916667,41.837500,5.0,2.90095,2.61402,3.15812,0.25658,39
56,109.916667,41.837500,10.0,3.19620,2.77784,3.53827,0.38190,39
56,109.916667,41.837500,20.0,3.83828,3.54008,4.11712,0.29217,39
56,109.916667,41.837500,40.0,2.96888,2.89092,3.14767,0.13904,39
56,109.916667,41.837500,60.0,3.26381,3.21945,3.31176,0.05111,39
56,109.916667,41.837500,80.0,3.51386,3.50525,3.53517,0.02027,39
56,109.916667,41.837500,100.0,3.55601,3.54065,3.56786,0.01889,39
57,109.916667,41.962500,2.0,2.73157,2.27541,3.32625,0.52125,39
57,109.916667,41.962500,5.0,2.83780,2.59074,3.15585,0.27298,39
57,109.916667,41.962500,10.0,3.05233,2.62809,3.49045,0.41265,39
57,109.916667,41.962500,20.0,3.81927,3.51762,4.12756,0.31131,39
57,109.916667,41.962500,40.0,3.05171,2.92856,3.21131,0.16117,39
57,109.916667,41.962500,60.0,3.26397,3.21804,3.30350,0.04812,39
57,109.916667,41.962500,80.0,3.52120,3.50361,3.54039,0.01924,39
57,109.916667,41.962500,100.0,3.55297,3.53594,3.58603,0.02491,39
58,109.916667,42.087500,2.0,2.76062,2.43431,3.41762,0.44574,39
58,109.916667,42.087500,5.0,2.90786,2.61181,3.15596,0.29453,39
58,109.916667,42.087500,10.0,3.17470,2.76705,3.47032,0.37013,39
58,109.916667,42.087500,20.0,3.76644,3.52718,4.03494,0.27631,39
58,109.916667,42.087500,40.0,3.03721,2.93282,3.16715,0.12394,39
58,109.916667,42.087500,60.0,3.26087,3.21592,3.31286,0.04712,39
58,109.916667,42.087500,80.0,3.51555,3.50025,3.53602,0.01785,39
58,109.916667,42.087500,100.0,3.55380,3.54006,3.58070,0.01909,39
59,109.916667,42.212500,2.0,2.75089,2.29743,3.22701,0.45542,39
59,109.916667,42.212500,5.0,2.94758,2.53270,3.23528,0.32492,39
59,109.916667,42.212500,10.0,3.10233,2.76476,3.37456,0.31697,39
59,109.916667,42.212500,20.0,3.67684,3.46609,3.88965,0.25303,39
59,109.916667,42.212500,40.0,3.05897,2.94598,3.18638,0.15775,39
59,109.916667,42.212500,60.0,3.25305,3.20403,3.29700,0.04449,39
59,109.916667,42.212500,80.0,3.52674,3.50429,3.54123,0.02066,39
59,109.916667,42.212500,100.0,3.54737,3.53387,3.56297,0.02061,39
60,109.916667,42.337500,2.0,2.72124,2.19814,2.97743,0.41432,39
60,109.916667,42.337500,5.0,2.98869,2.54738,3.19041,0.30542,39
60,109.916667,42.337500,10.0,3.19918,2.85463,3.44416,0.32374,39
60,109.916667,42.337500,20.0,3.75550,3.51858,3.95760,0.25276,39
60,109.916667,42.337500,40.0,2.92773,2.81781,3.04277,0.14278,39
60,109.916667,42.337500,60.0,3.22337,3.18089,3.25760,0.03775,39
60,109.916667,42.337500,80.0,3.50653,3.49107,3.52563,0.01800,39
60,109.916667,42.337500,100.0,3.54803,3.52592,3.56611,0.02159,39
61,110.083333,41.212500,2.0,2.79900,2.40861,3.60063,0.61980,39
61,110.083333,41.212500,5.0,3.25294,2.80144,3.57206,0.33594,39
61,110.083333,41.212500,10.0,3.62675,3.16089,3.99218,0.40420,39
61,110.083333,41.212500,20.0,3.75188,3.43618,4.04579,0.32986,39
61,110.083333,41.212500,40.0,2.95578,2.84863,3.11221,0.19155,39
61,110.083333,41.212500,60.0,3.33115,3.28312,3.40727,0.06882,39
61,110.083333,41.212500,80.0,3.55676,3.52774,3.62434,0.06230,39
61,110.083333,41.212500,100.0,3.62276,3.59479,3.66110,0.04603,39
62,110.083333,41.337500,2.0,2.66767,2.17072,3.15997,0.51702,39
62,110.083333,41.337500,5.0,3.00126,2.60793,3.34537,0.37975,39
62,110.083333,41.337500,10.0,3.49631,3.16194,3.80534,0.36788,39
62,110.083333,41.337500,20.0,3.78219,3.56966,4.18456,0.36639,39
62,110.083333,41.337500,40.0,2.92717,2.83760,3.09746,0.13987,39
62,110.083333,41.337500,60.0,3.26616,3.22514,3.31307,0.04867,39
62,110.083333,41.337500,80.0,3.51471,3.49483,3.53771,0.02472,39
62,110.083333,41.337500,100.0,3.57237,3.54825,3.60348,0.02777,39
63,110.083333,41.462500,2.0,2.80759,2.42492,3.24641,0.41910,39
63,110.083333,41.462500,5.0,3.09797,2.69255,3.49338,0.40402,39
63,110.083333,41.462500,10.0,3.26839,2.87396,3.64277,0.37065,39
63,110.083333,41.462500,20.0,3.84665,3.53767,4.09865,0.27919,39
63,110.083333,41.462500,40.0,3.02159,2.88966,3.19446,0.20462,39
63,110.083333,41.462500,60.0,3.22806,3.18474,3.27802,0.05219,39
63,110.083333,41.462500,80.0,3.51188,3.49701,3.52486,0.01482,39
63,110.083333,41.462500,100.0,3.55363,3.53140,3.57740,0.02137,39
64,110.083333,41.587500,2.0,2.78884,2.34421,3.11118,0.41359,39
64,110.083333,41.587500,5.0,2.98339,2.60785,3.26981,0.30234,39
64,110.083333,41.587500,10.0,3.18618,2.82437,3.61308,0.35400,39
64,110.083333,41.587500,20.0,3.93883,3.63679,4.13457,0.27888,39
64,110.083333,41.587500,40.0,2.99722,2.87895,3.18570,0.17580,39
64,110.083333,41.587500,60.0,3.24615,3.20126,3.31342,0.05363,39
64,110.083333,41.587500,80.0,3.51470,3.49867,3.53379,0.02086,39
64,110.083333,41.587500,100.0,3.55648,3.53555,3.58218,0.02441,39
65,110.083333,41.712500,2.0,2.81304,2.44848,3.22070,0.42796,39
65,110.083333,41.712500,5.0,3.01202,2.74752,3.34247,0.31764,39
65,110.083333,41.712500,10.0,3.09947,2.80949,3.51614,0.38857,39
65,110.083333,41.712500,20.0,3.79554,3.53094,4.12009,0.29590,39
65,110.083333,41.712500,40.0,3.03359,2.91159,3.26734,0.18274,39
65,110.083333,41.712500,60.0,3.25876,3.21203,3.29496,0.04764,39
65,110.083333,41.712500,80.0,3.51519,3.50185,3.53967,0.01934,39
65,110.083333,41.712500,100.0,3.55826,3.54135,3.57759,0.01896,39
66,110.083333,41.837500,2.0,3.02491,2.36395,3.47280,0.50127,39
66,110.083333,41.837500,5.0,3.11043,2.78863,3.44700,0.30682,39
66,110.083333,41.837500,10.0,3.14743,2.77507,3.55749,0.39995,39
66,110.083333,41.837500,20.0,3.82471,3.56638,4.21646,0.32931,39
66,110.083333,41.837500,40.0,3.01172,2.94268,3.15846,0.15012,39
66,110.083333,41.837500,60.0,3.25414,3.21049,3.29739,0.05005,39
66,110.083333,41.837500,80.0,3.52032,3.50012,3.53589,0.01958,39
66,110.083333,41.837500,100.0,3.56330,3.54476,3.59142,0.02420,39
67,110.083333,41.962500,2.0,2.71682,2.36195,3.15633,0.39664,39
67,110.083333,41.962500,5.0,3.02250,2.62708,3.31111,0.35620,39
67,110.083333,41.962500,10.0,3.28838,3.01154,3.60729,0.31869,39
67,110.083333,41.962500,20.0,3.79736,3.49720,4.20708,0.32895,39
67,110.083333,41.962500,40.0,2.99639,2.86822,3.16197,0.17037,39
67,110.083333,41.962500,60.0,3.24347,3.19050,3.28711,0.04729,39
67,110.083333,41.962500,80.0,3.51151,3.49382,3.53146,0.01967,39
67,110.083333,41.962500,100.0,3.55261,3.53491,3.57534,0.02259,39
68,110.083333,42.087500,2.0,2.80169,2.47614,3.16580,0.34674,39
68,110.083333,42.087500,5.0,2.94828,2.67594,3.27994,0.28375,39
68,110.083333,42.087500,10.0,3.04593,2.73900,3.30957,0.30288,39
68,110.083333,42.087500,20.0,3.72843,3.51714,3.96655,0.23207,39
68,110.083333,42.087500,40.0,3.01457,2.92766,3.16244,0.15323,39
68,110.083333,42.087500,60.0,3.23502,3.19542,3.29271,0.05127,39
68,110.083333,42.087500,80.0,3.52241,3.50532,3.53919,0.01817,39
68,110.083333,42.087500,100.0,3.55460,3.54033,3.57586,0.01987,39
69,110.083333,42.212500,2.0,2.67855,2.21086,3.02987,0.37567,39
69,110.083333,42.212500,5.0,3.07061,2.71564,3.41907,0.35289,39
69,110.083333,42.212500,10.0,3.24423,2.94336,3.66573,0.31955,39
69,110.083333,42.212500,20.0,3.63688,3.25819,3.94244,0.33718,39
69,110.083333,42.212500,40.0,3.14618,3.01445,3.36672,0.17668,39
69,110.083333,42.212500,60.0,3.25031,3.20829,3.31816,0.06814,39
69,110.083333,42.212500,80.0,3.52244,3.50618,3.54255,0.02003,39
69,110.083333,42.212500,100.0,3.55350,3.52884,3.56898,0.02228,39
70,110.083333,42.337500,2.0,2.71701,2.43461,3.21711,0.38139,39
70,110.083333,42.337500,5.0,2.90860,2.62038,3.21042,0.29471,39
70,110.083333,42.337500,10.0,3.05171,2.84863,3.44655,0.32941,39
70,110.083333,42.337500,20.0,3.73826,3.48500,3.95243,0.23550,39
70,110.083333,42.337500,40.0,2.98690,2.90511,3.12269,0.13240,39
70,110.083333,42.337500,60.0,3.24079,3.18762,3.28319,0.04616,39
70,110.083333,42.337500,80.0,3.51607,3.49706,3.53882,0.02015,39
70,110.083333,42.337500,100.0,3.54159,3.52094,3.56278,0.02203,39
71,110.250000,41.212500,2.0,2.74466,2.18753,3.29027,0.51783,39
71,110.250000,41.212500,5.0,3.07082,2.63264,3.28460,0.34648,39
71,110.250000,41.212500,10.0,3.50437,3.10472,3.94091,0.39518,39
71,110.250000,41.212500,20.0,3.86899,3.49440,4.16144,0.33065,39
71,110.250000,41.212500,40.0,2.97154,2.84714,3.10306,0.16159,39
71,110.250000,41.212500,60.0,3.26938,3.22424,3.31781,0.05768,39
71,110.250000,41.212500,80.0,3.51544,3.49691,3.54853,0.03131,39
71,110.250000,41.212500,100.0,3.58698,3.56238,3.60748,0.02630,39
72,110.250000,41.337500,2.0,2.64813,2.23641,3.23095,0.45589,39
72,110.250000,41.337500,5.0,2.76545,2.46107,3.25545,0.37741,39
72,110.250000,41.337500,10.0,3.07847,2.68140,3.56511,0.41805,39
72,110.250000,41.337500,20.0,3.82036,3.51083,4.10092,0.30642,39
72,110.250000,41.337500,40.0,3.04822,2.92213,3.19598,0.15780,39
72,110.250000,41.337500,60.0,3.27578,3.22925,3.30427,0.04142,39
72,110.250000,41.337500,80.0,3.52004,3.50358,3.53080,0.01646,39
72,110.250000,41.337500,100.0,3.55917,3.54161,3.57395,0.01664,39
73,110.250000,41.462500,2.0,2.88886,2.47755,3.27838,0.41733,39
73,110.250000,41.462500,5.0,2.94241,2.62814,3.19839,0.31490,39
73,110.250000,41.462500,10.0,3.10544,2.71319,3.41226,0.35574,39
73,110.250000,41.462500,20.0,3.85306,3.58200,4.06189,0.29046,39
73,110.250000,41.462500,40.0,3.09882,2.95873,3.22346,0.17169,39
73,110.250000,41.462500,60.0,3.27077,3.23189,3.32684,0.05708,39
73,110.250000,41.462500,80.0,3.51800,3.49655,3.53262,0.01983,39
73,110.250000,41.462500,100.0,3.55199,3.53422,3.57371,0.02481,39
74,110.250000,41.587500,2.0,2.74133,2.34254,3.32953,0.45704,39
74,110.250000,41.587500,5.0,3.00841,2.72383,3.29886,0.32640,39
74,110.250000,41.587500,10.0,3.26572,2.83966,3.59149,0.39255,39
74,110.250000,41.587500,20.0,3.82014,3.56681,4.10066,0.29749,39
74,110.250000,41.587500,40.0,3.00027,2.83880,3.16373,0.16016,39
74,110.250000,41.587500,60.0,3.24287,3.20638,3.31732,0.05249,39
74,110.250000,41.587500,80.0,3.51473,3.49689,3.53253,0.02213,39
74,110.250000,41.587500,100.0,3.55763,3.53913,3.57558,0.01758,39
75,110.250000,41.712500,2.0,2.82587,2.48189,3.25209,0.39606,39
75,110.250000,41.712500,5.0,2.94503,2.55769,3.20692,0.32308,39
75,110.250000,41.712500,10.0,3.14347,2.70250,3.40223,0.33149,39
75,110.250000,41.712500,20.0,3.84462,3.52914,4.18486,0.32089,39
75,110.250000,41.712500,40.0,3.02105,2.91032,3.21374,0.14684,39
75,110.250000,41.712500,60.0,3.24902,3.20997,3.28787,0.04958,39
75,110.250000,41.712500,80.0,3.51903,3.49854,3.53543,0.01939,39
75,110.250000,41.712500,100.0,3.55512,3.53665,3.57902,0.02109,39
76,110.250000,41.837500,2.0,2.76507,2.47073,3.40268,0.41349,39
76,110.250000,41.837500,5.0,3.03364,2.79055,3.35457,0.37899,39
76,110.250000,41.837500,10.0,3.21883,2.70248,3.66013,0.41771,39
76,110.250000,41.837500,20.0,3.88671,3.54420,4.12174,0.30397,39
76,110.250000,41.837500,40.0,2.98674,2.89041,3.15594,0.14675,39
76,110.250000,41.837500,60.0,3.26269,3.21429,3.30901,0.05960,39
76,110.250000,41.837500,80.0,3.51551,3.49884,3.53815,0.01888,39
76,110.250000,41.837500,100.0,3.55144,3.53452,3.57665,0.02111,39
77,110.250000,41.962500,2.0,2.85292,2.37107,3.40157,0.46529,39
77,110.250000,41.962500,5.0,2.98325,2.64534,3.29115,0.30815,39
77,110.250000,41.962500,10.0,3.17012,2.67529,3.59419,0.38348,39
77,110.250000,41.962500,20.0,3.85554,3.56972,4.18196,0.32234,39
77,110.250000,41.962500,40.0,3.04590,2.86596,3.21695,0.16490,39
77,110.250000,41.962500,60.0,3.24469,3.20275,3.29903,0.06580,39
77,110.250000,41.962500,80.0,3.51796,3.50405,3.53496,0.01685,39
77,110.250000,41.962500,100.0,3.56801,3.54595,3.59379,0.02268,39
78,110.250000,42.087500,2.0,2.99105,2.47157,3.48679,0.45749,39
78,110.250000,42.087500,5.0,3.12077,2.69390,3.50500,0.39594,39
78,110.250000,42.087500,10.0,3.22351,2.90622,3.70299,0.40179,39
78,110.250000,42.087500,20.0,3.83623,3.48120,4.14998,0.31416,39
78,110.250000,42.087500,40.0,3.04329,2.89804,3.22139,0.19935,39
78,110.250000,42.087500,60.0,3.25975,3.21700,3.30051,0.05633,39
78,110.250000,42.087500,80.0,3.51194,3.49366,3.53545,0.02256,39
78,110.250000,42.087500,100.0,3.56683,3.54770,3.60565,0.02675,39
79,110.250000,42.212500,2.0,2.69363,2.33857,3.06799,0.36456,39
79,110.250000,42.212500,5.0,2.98168,2.67376,3.24277,0.28350,39
79,110.250000,42.212500,10.0,3.18625,2.93768,3.60859,0.34360,39
79,110.250000,42.212500,20.0,3.71324,3.40309,3.95801,0.29621,39
79,110.250000,42.212500,40.0,2.95028,2.84858,3.09080,0.14477,39
79,110.250000,42.212500,60.0,3.22392,3.18598,3.27461,0.05084,39
79,110.250000,42.212500,80.0,3.51569,3.49406,3.53960,0.02511,39
79,110.250000,42.212500,100.0,3.55238,3.53240,3.57261,0.02240,39
80,110.250000,42.337500,2.0,2.81061,2.41024,3.13936,0.40335,39
80,110.250000,42.337500,5.0,2.84506,2.47760,3.27436,0.35514,39
80,110.250000,42.337500,10.0,3.01725,2.71386,3.32145,0.34353,39
80,110.250000,42.337500,20.0,3.80631,3.51892,4.06144,0.29139,39
80,110.250000,42.337500,40.0,3.05929,2.93064,3.20436,0.13993,39
80,110.250000,42.337500,60.0,3.28915,3.24423,3.33934,0.05901,39
80,110.250000,42.337500,80.0,3.52387,3.50172,3.54085,0.01890,39
80,110.250000,42.337500,100.0,3.55721,3.53269,3.57603,0.02163,39
81,110.416667,41.212500,2.0,2.77563,2.17268,3.27165,0.50787,39
81,110.416667,41.212500,5.0,2.89693,2.51285,3.24006,0.35466,39
81,110.416667,41.212500,10.0,3.15060,2.79880,3.58474,0.37737,39
81,110.416667,41.212500,20.0,3.84498,3.48108,4.09572,0.30419,39
81,110.416667,41.212500,40.0,3.01897,2.90246,3.20327,0.19043,39
81,110.416667,41.212500,60.0,3.27835,3.25373,3.33305,0.06096,39
81,110.416667,41.212500,80.0,3.52023,3.49951,3.54223,0.02824,39
81,110.416667,41.212500,100.0,3.55752,3.54099,3.58744,0.02404,39
82,110.416667,41.337500,2.0,2.66667,2.28640,3.15671,0.43816,39
82,110.416667,41.337500,5.0,2.88192,2.56078,3.18120,0.31021,39
82,110.416667,41.337500,10.0,3.07647,2.63491,3.40423,0.37330,39
82,110.416667,41.337500,20.0,3.69679,3.47203,3.94711,0.27189,39
82,110.416667,41.337500,40.0,3.07730,2.91450,3.27614,0.16180,39
82,110.416667,41.337500,60.0,3.25815,3.20757,3.29947,0.04433,39
82,110.416667,41.337500,80.0,3.52121,3.50357,3.53986,0.01660,39
82,110.416667,41.337500,100.0,3.54682,3.53029,3.56296,0.01956,39
83,110.416667,41.462500,2.0,2.77368,2.32183,3.30253,0.46575,39
83,110.416667,41.462500,5.0,2.91344,2.60507,3.22868,0.28194,39
83,110.416667,41.462500,10.0,3.05588,2.72925,3.43302,0.35399,39
83,110.416667,41.462500,20.0,3.70107,3.46231,4.04496,0.30794,39
83,110.416667,41.462500,40.0,2.98727,2.89908,3.16259,0.16751,39
83,110.416667,41.462500,60.0,3.24407,3.20194,3.30038,0.04747,39
83,110.416667,41.462500,80.0,3.51796,3.49928,3.53852,0.01990,39
83,110.416667,41.462500,100.0,3.55221,3.54010,3.57564,0.01909,39
84,110.416667,41.587500,2.0,2.78462,2.23937,3.30351,0.45632,39
84,110.416667,41.587500,5.0,2.92119,2.57515,3.21078,0.34477,39
84,110.416667,41.587500,10.0,2.93022,2.68358,3.43477,0.36643,39
84,110.416667,41.587500,20.0,3.88322,3.50193,4.15256,0.29693,39
84,110.416667,41.587500,40.0,3.04779,2.89347,3.16573,0.16298,39
84,110.416667,41.587500,60.0,3.24399,3.19902,3.29672,0.04911,39
84,110.416667,41.587500,80.0,3.52103,3.49822,3.54491,0.02499,39
84,110.416667,41.587500,100.0,3.55037,3.53400,3.57257,0.02400,39
85,110.416667,41.712500,2.0,2.75123,2.37985,3.33194,0.48367,39
85,110.416667,41.712500,5.0,3.00350,2.55990,3.31418,0.33950,39
85,110.416667,41.712500,10.0,3.11345,2.74056,3.36316,0.31142,39
85,110.416667,41.712500,20.0,3.86272,3.56834,4.18184,0.30827,39
85,110.416667,41.712500,40.0,3.10859,2.94593,3.22901,0.19441,39
85,110.416667,41.712500,60.0,3.26953,3.22326,3.33007,0.04951,39
85,110.416667,41.712500,80.0,3.52386,3.50336,3.55107,0.03046,39
85,110.416667,41.712500,100.0,3.56228,3.54073,3.58508,0.02266,39
86,110.416667,41.837500,2.0,2.90057,2.43536,3.33658,0.47585,39
86,110.416667,41.837500,5.0,2.95524,2.70717,3.40531,0.34407,39
86,110.416667,41.837500,10.0,3.25789,2.86453,3.52965,0.36407,39
86,110.416667,41.837500,20.0,3.86453,3.52923,4.08383,0.31436,39
86,110.416667,41.837500,40.0,2.96915,2.83697,3.11900,0.16668,39
86,110.416667,41.837500,60.0,3.24276,3.20144,3.29363,0.05175,39
86,110.416667,41.837500,80.0,3.51516,3.49462,3.52948,0.03383,39
86,110.416667,41.837500,100.0,3.57267,3.55514,3.59676,0.02219,39
87,110.416667,41.962500,2.0,2.84206,2.37533,3.30462,0.44113,39
87,110.416667,41.962500,5.0,3.00964,2.74658,3.28233,0.30584,39
87,110.416667,41.962500,10.0,3.24949,2.81478,3.61858,0.35627,39
87,110.416667,41.962500,20.0,3.84471,3.47619,4.05800,0.31938,39
87,110.416667,41.962500,40.0,2.97111,2.84339,3.11023,0.15575,39
87,110.416667,41.962500,60.0,3.23367,3.19344,3.28801,0.06091,39
87,110.416667,41.962500,80.0,3.50777,3.48937,3.53183,0.02470,39
87,110.416667,41.962500,100.0,3.55642,3.53884,3.57918,0.02223,39
88,110.416667,42.087500,2.0,2.78319,2.25940,3.28414,0.46174,39
88,110.416667,42.087500,5.0,3.02312,2.73348,3.34661,0.34415,39
88,110.416667,42.087500,10.0,3.37026,2.93308,3.79330,0.38444,39
88,110.416667,42.087500,20.0,3.82166,3.54772,4.04567,0.31953,39
88,110.416667,42.087500,40.0,2.91284,2.82656,3.01636,0.10020,39
88,110.416667,42.087500,60.0,3.23662,3.19511,3.28679,0.04282,39
88,110.416667,42.087500,80.0,3.49944,3.47656,3.53624,0.02735,39
88,110.416667,42.087500,100.0,3.55477,3.54066,3.57944,0.02321,39
89,110.416667,42.212500,2.0,2.79873,2.32186,3.27585,0.49527,39
89,110.416667,42.212500,5.0,3.10306,2.78575,3.51312,0.34586,39
89,110.416667,42.212500,10.0,3.58384,3.24846,3.97841,0.34253,39
89,110.416667,42.212500,20.0,3.78028,3.50772,4.11022,0.29347,39
89,110.416667,42.212500,40.0,2.93116,2.79161,3.08350,0.14197,39
89,110.416667,42.212500,60.0,3.24947,3.20787,3.32404,0.07186,39
89,110.416667,42.212500,80.0,3.50561,3.48555,3.53864,0.03895,39
89,110.416667,42.212500,100.0,3.56834,3.54352,3.59647,0.04199,39
90,110.416667,42.337500,2.0,2.60416,2.30952,3.19247,0.44940,39
90,110.416667,42.337500,5.0,2.90494,2.63421,3.20709,0.29738,39
90,110.416667,42.337500,10.0,3.22914,2.77677,3.69942,0.43241,39
90,110.416667,42.337500,20.0,3.92182,3.58431,4.23090,0.29456,39
90,110.416667,42.337500,40.0,2.96843,2.87478,3.13523,0.16242,39
90,110.416667,42.337500,60.0,3.28685,3.24896,3.35390,0.05428,39
90,110.416667,42.337500,80.0,3.51686,3.50384,3.54470,0.02659,39
90,110.416667,42.337500,100.0,3.55938,3.54327,3.58234,0.02432,39
91,110.583333,41.212500,2.0,2.66582,2.19939,3.21487,0.52817,39
