euler_steps,input_mode,mean_vs_p05_p95_width_km_s,mean_vs_p16_p84_width_km_s,mean_vs_std_km_s,method,n_test,period_max,period_min,posterior_samples,prior,rho_mae_g_cm3,runtime_s,vp_mae_km_s,vs_05_95_coverage,vs_16_84_coverage,vs_mae_km_s,vs_rmse_km_s
16,rayleigh,0.26005804538726807,0.16164392232894897,0.08420813828706741,DI-Strong,64,60.0,2.0,32,strong,0.08926495909690857,17.20748472213745,0.2551654577255249,0.7906494140625,0.58612060546875,0.08404908329248428,0.12632223963737488
16,love,0.2764713764190674,0.17213131487369537,0.08984258025884628,DI-Strong,64,60.0,2.0,32,strong,0.09965527057647705,15.609562873840332,0.28014445304870605,0.78338623046875,0.57183837890625,0.0900518074631691,0.1282336413860321
16,joint,0.2574314475059509,0.1597467064857483,0.08342701941728592,DI-Strong,64,60.0,2.0,32,strong,0.08810310810804367,18.120601177215576,0.24952374398708344,0.798095703125,0.58465576171875,0.08054637908935547,0.1186666414141655
16,rayleigh,0.4564478397369385,0.28470122814178467,0.14825496077537537,DI-Weak,64,60.0,2.0,32,weak,0.06020786240696907,20.346970081329346,0.23817501962184906,0.79583740234375,0.5863037109375,0.14562000334262848,0.20475256443023682
16,love,0.5182403326034546,0.32129842042922974,0.16761109232902527,DI-Weak,64,60.0,2.0,32,weak,0.07097294181585312,17.785671949386597,0.28613653779029846,0.76263427734375,0.55767822265625,0.17281904816627502,0.2336970567703247
16,joint,0.45385897159576416,0.28253480792045593,0.14700676500797272,DI-Weak,64,60.0,2.0,32,weak,0.05749388411641121,18.418703079223633,0.22786375880241394,0.80712890625,0.58984375,0.1394975185394287,0.19232143461704254
