epoch,epochs,time_s,lr,train_loss,train_rec_loss,train_slope_loss,train_curvature_loss,train_mae,train_rmse,train_vp_mae,train_vs_mae,train_rho_mae,train_vp_rmse,train_vs_rmse,train_rho_rmse,val_loss,val_rec_loss,val_slope_loss,val_curvature_loss,val_mae,val_rmse,val_vp_mae,val_vs_mae,val_rho_mae,val_vp_rmse,val_vs_rmse,val_rho_rmse,selection_score,is_best
1,24,531.204628944397,0.00019914876370669414,0.30025585047245024,0.29958132437229157,0.01117022795855999,0.011601441708803176,0.21899990743637085,0.33125502623558045,0.36220503385543823,0.1725948816728592,0.12219979047775269,0.492418950214386,0.24448147119045258,0.16391968941688537,0.2541746855713427,0.25359480269253254,0.009794032026547939,0.009018185461172834,0.19432533904910088,0.29557523131370544,0.32517343852669,0.14771415945142508,0.11008841264992952,0.44120131712406874,0.2132068146020174,0.14808498788625002,0.2541746855713427,True
2,24,529.643238067627,0.00019660961971576228,0.2492495387172699,0.2486364591407776,0.010263058427274227,0.009992653371989728,0.19244715767860412,0.2962405772686005,0.322022864818573,0.1465422070646286,0.10877638553142548,0.4421281483364105,0.21446494623184204,0.14746140229701996,0.23362330486997962,0.23304751375690103,0.009715784311993048,0.009000351332360879,0.18382621183991432,0.28382990462705493,0.3096562922000885,0.13698635227046907,0.104835981503129,0.4248354462906718,0.2023259261623025,0.14210484153591096,0.23362330486997962,True
3,24,527.5703239440918,0.000192426013484873,0.23627994700431823,0.2356845826101303,0.009992411821484566,0.009574360976517201,0.18539424305438995,0.2870458354949951,0.3116280368423462,0.13920554070949553,0.10534913652896881,0.4290389659023285,0.2062971590614319,0.14317775834560395,0.225819599814713,0.2252513812854886,0.009566345135681331,0.008990098984213546,0.1793715124949813,0.27723110280930996,0.30137390457093716,0.13482609181664884,0.1019145252648741,0.4144653473049402,0.19890026981011033,0.1385116004385054,0.225819599814713,True
4,24,526.8507289886475,0.00018666952767655164,0.2275698922777176,0.22698432791233064,0.009840319128036498,0.009354873671829701,0.1807749577522278,0.2811821129226685,0.3047280122089386,0.13462580801010132,0.10297103865623475,0.4206214002323151,0.20133614831447602,0.14028672311306,0.2175518716685474,0.21698305662721395,0.009575533214956522,0.009003817423945293,0.17492211889475584,0.2719166479073465,0.2966990191489458,0.1275508631952107,0.10051645361818373,0.4071898125112057,0.19351820601150393,0.1360480624716729,0.2175518716685474,True
5,24,527.0841729640961,0.00017943865735897788,0.22243942625045776,0.2218599801540375,0.009743199369907378,0.009228579465448857,0.17798813501358032,0.2778875026035309,0.30061059639930726,0.13175245936870575,0.10160133410453796,0.4158484239387512,0.19859513216972352,0.13871551337718963,0.2113008163869381,0.21073390124365687,0.009539121034322307,0.00899609230691567,0.17184686101973057,0.2673540818504989,0.29193421732634306,0.12474459619261324,0.0988617551047355,0.40104024577885866,0.18849910236895084,0.13427186012268066,0.2113008163869381,True
6,24,527.3924829959869,0.00017085712472806146,0.21740372730255128,0.2168281760597229,0.009680256972014904,0.009153848356306553,0.17521309431552887,0.2746796920013428,0.2965663613700867,0.12884223891735078,0.10023066766262055,0.4113199131774902,0.1956712133550644,0.13718330709934234,0.21885831048712134,0.21829194854944944,0.009532300697173923,0.00897472252836451,0.1749900346621871,0.2752191135659814,0.29625579435378313,0.12843826762400568,0.10027601849287748,0.41181678511202335,0.1970569295808673,0.13701578974723816,0.21885831048712134,False
7,24,527.3501830101013,0.0001610717621863677,0.21421010549545288,0.21363760118484498,0.009629079021811485,0.009105032560229301,0.1734396591758728,0.2726716346359253,0.29381671897888184,0.12721042437553406,0.09929181887865067,0.4083792667293549,0.19410011230945587,0.1361920307779312,0.21125583909451962,0.21069038892164826,0.009505255176918581,0.009018732962431386,0.17071948247030377,0.2690312094055116,0.2912389747798443,0.12201403942890465,0.09890542295761406,0.40380422305315733,0.18905768916010857,0.13521357905119658,0.21125583909451962,True
8,24,527.4296100139618,0.00015025,0.21116500289440154,0.21059477397441864,0.009589359273463488,0.009076110288351775,0.1716712090396881,0.27071487758636475,0.29126588787078855,0.1253113486981392,0.09843637709617614,0.4056292410469055,0.1922692456150055,0.13529041592597962,0.20176792796701193,0.2012068792246282,0.009420803107786924,0.009000948921311647,0.1661011348478496,0.26154684741050005,0.283398293890059,0.1189095436129719,0.09599555190652609,0.3923356980085373,0.18460755562409759,0.1310042014811188,0.20176792796701193,True
9,24,525.9724359512329,0.00013857700152032642,0.20640692034244537,0.20583922808170318,0.009542604780495166,0.009056198848187924,0.16914248517036437,0.266971884803772,0.28757835831642153,0.12265233944177628,0.0971967423772812,0.40025082486152647,0.18905300528049468,0.13353044645786286,0.19993625301867723,0.19937551952898502,0.009415855805855244,0.008994001254905015,0.16527412040159106,0.2606904450803995,0.2817827695980668,0.11882927338592708,0.09521030355244875,0.3914827750995755,0.18316109851002693,0.13050327240489423,0.19993625301867723,True
10,24,525.392215013504,0.0001262524949877008,0.20403013160705566,0.20346376737594604,0.009518275573849677,0.009045019505023956,0.16776497591495515,0.26568957755088807,0.28546915952682494,0.12133545589447021,0.09649029674053192,0.39839052137374875,0.1879893351697922,0.13292452461242676,0.190696035977453,0.19013847364112735,0.009351432207040489,0.008999089361168444,0.16032311879098415,0.2542673680000007,0.274608445353806,0.1135133767966181,0.09284752421081066,0.3823489835485816,0.17731709079816937,0.1275756717659533,0.190696035977453,True
