burnin,case_index,di_mean_vs_p05_p95_width_km_s,di_median_vs_mae_km_s,di_target_vs_mae_km_s,di_vs_p05_p95_coverage,di_vs_p16_p84_coverage,input_mode,mcmc_accept_max,mcmc_accept_mean,mcmc_accept_min,mcmc_ess_median,mcmc_ess_min,mcmc_mean_vs_p05_p95_width_km_s,mcmc_median_vs_mae_km_s,mcmc_pred_rms_km_s,mcmc_pred_valid_samples,mcmc_rhat_max,mcmc_rhat_median,mcmc_runtime_s,mcmc_target_vs_mae_km_s,mcmc_usable,mcmc_vs_p05_p95_coverage,mcmc_vs_p16_p84_coverage,n_params,n_post_draws,n_prior_samples,n_steps,n_walkers,prior_model,regime,resume_source,sigma_c_km_s,source_file,thin,vs_control_wasserstein_mean_km_s,vs_median_absdiff_mcmc_di_km_s,vs_p05_p95_interval_overlap,vs_p05_p95_width_ratio_di_to_mcmc,vs_q05_q50_q95_absdiff_mcmc_di_km_s
600,0,0.25437805871479213,0.06749077024869621,0.06749077024869621,0.81640625,0.56640625,joint,0.421875,0.39947916666666666,0.37375,163.6718573833045,132.70625697979762,0.25112982746213675,0.06621926440857351,0.013319745659828186,128,1.1921724081039429,1.154285192489624,1332.8850631713867,0.06621926440857351,True,0.8046875,0.6015625,11,4800,2500,1600,24,GMM-6 projected strong prior,in-prior,,0.1,results/same_prior_mcmc_posterior/strong_gmm6_k10_case1_s1600/same_prior_mcmc_posterior_metrics.csv,5,0.08435608712410689,0.038346377201378345,0.6441479256767381,1.0994446128588937,0.05345817815201979
200,1,0.2528098823968321,0.09388573979958892,0.09388573979958892,0.75,0.4765625,joint,0.3931818181818182,0.3740530303030303,0.345,247.43973940846453,127.47319955013526,0.2724481291603297,0.11238011857494712,0.01414398942142725,128,1.1794345378875732,1.1108049154281616,1532.4860210418701,0.11238011857494712,True,0.609375,0.33203125,11,9600,2500,2200,24,GMM-6 projected strong prior,in-prior,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases1_2_s1600/same_prior_mcmc_posterior_diagnostics.npz,0.1,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases1_2_resume_s2200/same_prior_mcmc_posterior_metrics.csv,5,0.13003337901589845,0.07693540584295988,0.5536276688829191,0.9728609214337269,0.07958122484075529
200,2,0.30759834847413003,0.05612823972478509,0.05612823972478509,0.94140625,0.7890625,joint,0.4072727272727273,0.3886742424242424,0.35909090909090907,245.02492511959855,196.85342298366697,0.25620449048001315,0.08792146539781243,0.013740374706685543,128,1.1214123964309692,1.1042020320892334,2054.723448038101,0.08792146539781243,True,0.78515625,0.53515625,11,9600,2500,2200,24,GMM-6 projected strong prior,in-prior,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases1_2_s1600/same_prior_mcmc_posterior_diagnostics.npz,0.1,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases1_2_resume_s2200/same_prior_mcmc_posterior_metrics.csv,5,0.08639518113268747,0.08672797295730561,0.4684009014594942,1.396371193160577,0.09993605130972961
200,3,0.24004805472213775,0.04962345538660884,0.04962345538660884,0.9609375,0.68359375,joint,0.40045454545454545,0.38276515151515156,0.3463636363636364,299.0363209926204,201.7503337253215,0.25834067987743764,0.04893923061899841,0.008624820969998837,128,1.1242507696151733,1.0724526643753052,1526.9127070903778,0.04893923061899841,True,0.94921875,0.8203125,11,9600,2500,2200,24,GMM-6 projected strong prior,in-prior,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases3_5_s1600/same_prior_mcmc_posterior_diagnostics.npz,0.1,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases3_5_resume_s2200/same_prior_mcmc_posterior_metrics.csv,5,0.11598123457154841,0.039307826897129416,0.6656526190963152,1.0325834266071514,0.052422167329738534
200,4,0.25848288979614154,0.06572949490509927,0.06572949490509927,0.81640625,0.58203125,joint,0.40545454545454546,0.39007575757575763,0.37227272727272726,286.8864422547517,218.7014811256389,0.2104885788168758,0.060005950508639216,0.015008464455604553,128,1.0964540243148804,1.0796806812286377,1651.76859998703,0.060005950508639216,True,0.8515625,0.71875,11,9600,2500,2200,24,GMM-6 projected strong prior,in-prior,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases3_5_s1600/same_prior_mcmc_posterior_diagnostics.npz,0.1,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases3_5_resume_s2200/same_prior_mcmc_posterior_metrics.csv,5,0.10562223291035852,0.06639123568311334,0.5408523533670064,1.232697122314649,0.07162156890844927
200,5,0.30551300110528246,0.09808145137503743,0.09808145137503743,0.80859375,0.50390625,joint,0.41954545454545455,0.39645833333333336,0.37454545454545457,325.8379077206169,284.3572091597127,0.23313825912773606,0.11417764623183757,0.01478179544210434,128,1.1097644567489624,1.063283920288086,1835.1723518371582,0.11417764623183757,True,0.59765625,0.3125,11,9600,2500,2200,24,GMM-6 projected strong prior,in-prior,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases3_5_s1600/same_prior_mcmc_posterior_diagnostics.npz,0.1,results/same_prior_mcmc_posterior/strong_gmm6_k10_cases3_5_resume_s2200/same_prior_mcmc_posterior_metrics.csv,5,0.10692432791656921,0.037001204560510814,0.6262625251256386,1.5406518257898798,0.06165707255325592
