epoch,epochs,global_step,time_s,lr,train_loss,train_flow_loss,train_rec_loss,train_slope_loss,train_curvature_loss,train_mae,train_rmse,train_vp_mae,train_vs_mae,train_rho_mae,val_loss,val_flow_loss,val_rec_loss,val_slope_loss,val_curvature_loss,val_mae,val_rmse,val_vp_mae,val_vs_mae,val_rho_mae,val_sample_mae,val_sample_rmse,val_sample_vp_mae,val_sample_vs_mae,val_sample_rho_mae,selection_score,best_val_loss_before_epoch,is_best
1,24,1563,473.9207260608673,0.00019914876370669414,0.5538849974204849,0.4463223083348741,0.21393602077330218,0.009628973080480491,0.011322956436605061,0.21090016742394815,0.3410270515250153,0.3438303549264534,0.20106180713905863,0.0878083235152204,0.46166286431252956,0.36917431466281414,0.18432696303352714,0.005528079127543606,0.004866268383921124,0.191476633772254,0.3088300684466958,0.31185054313391447,0.18297481117770076,0.07960452232509851,0.3673422457650304,0.5388030810281634,0.6034668758511543,0.3488128539174795,0.14974699122831225,0.46166286431252956,inf,True
2,24,3126,483.3513798713684,0.00019660961971576228,0.46696965559430403,0.3755869421910111,0.18194115479844392,0.006791703652063777,0.007255072475745273,0.18976210418109016,0.3071926681852768,0.30876723596360234,0.18180657513272816,0.07871248614774708,0.4230545228347182,0.33925026282668114,0.1670550722628832,0.004788709353306331,0.003728759940713644,0.1783270868472755,0.2922676564194262,0.2893150229938328,0.17130442755296826,0.07436178962234408,0.3575744805857539,0.5354366470128298,0.5865314528346062,0.33929635025560856,0.1468956209719181,0.4230545228347182,0.46166286431252956,True
3,24,4689,474.42959094047546,0.000192426013484873,0.4389347518703073,0.35444936802657234,0.16822298794927615,0.006202541306610109,0.006376227703879773,0.1804138722514313,0.29311770569683265,0.2933785252497125,0.1734311648156501,0.07443191127533419,0.40440424904227257,0.3221893450245261,0.16392597532831132,0.004426231163961347,0.0030609122550231405,0.1764169386588037,0.29114980064332485,0.286954655777663,0.17003608029335737,0.07226005767006427,0.3322022380307317,0.5044155046343803,0.5452010426670313,0.31693007331341505,0.13447558390907943,0.40440424904227257,0.4230545228347182,True
4,24,6252,473.8506021499634,0.00018666952767655164,0.42215498187415357,0.34091499302910444,0.16177745758819795,0.005860459361277802,0.005823759320689579,0.17592523128309084,0.28670663623495585,0.28597232338067285,0.16944424974864977,0.07235910586407378,0.3935990063473582,0.31721950974315405,0.15229769726283848,0.004083921725396067,0.0026457323983777314,0.16862376360222697,0.27561035566031933,0.27410997124388814,0.16245244070887566,0.06930886092595756,0.3212477099150419,0.4878744734451175,0.5269697522744536,0.3077049944549799,0.12906834157183766,0.3935990063473582,0.40440424904227257,True
5,24,7815,465.7528557777405,0.00017943865735897788,0.4089711073378455,0.3305520954150385,0.15616652966785036,0.0056235917917764385,0.00545679439831661,0.17209257329417893,0.2805811761570373,0.2797872224776164,0.16595390297934862,0.07053657807767277,0.37310538440942764,0.30081155616790056,0.14414717978797853,0.003949390193156432,0.002277088518894743,0.163262820802629,0.2694766605272889,0.26543273590505123,0.15791129088029265,0.06644442584365606,0.3175044786185026,0.49132433254271746,0.5212365230545402,0.3031067121773958,0.12817017431370914,0.37310538440942764,0.3935990063473582,True
6,24,9378,462.3916199207306,0.00017085712472806146,0.39769590391002246,0.3218589437480775,0.15102570551141897,0.005442237791021951,0.005199575158710796,0.16837879567289687,0.27530165276920954,0.2736668793326071,0.16250906964753273,0.06896042270837345,0.3602943290024996,0.28895032685250044,0.142262073000893,0.003826579988526646,0.002163328947062837,0.1613722867332399,0.2644015750847757,0.2618190557695925,0.1561247599311173,0.06617303588427603,0.3029839303344488,0.4644629107788205,0.4977146293967962,0.2898647468537092,0.12137238890863955,0.3602943290024996,0.37310538440942764,True
7,24,10941,459.3557608127594,0.0001610717621863677,0.38904485203711864,0.3146384665200288,0.1481794146147586,0.005328263977354229,0.00502653598906955,0.16621971363946558,0.27205844718297933,0.2700260947300544,0.16060987634969232,0.06802315449655552,0.35881223902106285,0.2868250096216798,0.14356551691889763,0.0037045906865387224,0.0019241815789428074,0.16216822667047381,0.26957170851528645,0.26403165236115456,0.1570604993030429,0.06541251274757087,0.3013955056667328,0.47179244831204414,0.494579054415226,0.28953664749860764,0.12007077736780047,0.35881223902106285,0.3602943290024996,True
8,24,12504,459.5949649810791,0.00015025,0.38160303450515465,0.3088803025902805,0.14482364477977033,0.005239525437027321,0.004893317946750654,0.16391458860476354,0.2682275975543722,0.2662122460297873,0.15852311039992958,0.0670083943046558,0.34346460923552513,0.2760904743336141,0.13435270846821368,0.0035915686530643143,0.001820339461119147,0.15572373196482658,0.26040516048669815,0.2531393268145621,0.15081825852394104,0.06321359146386385,0.3011052403599024,0.4720596643164754,0.49387392960488796,0.28875499963760376,0.1206867613364011,0.34346460923552513,0.35881223902106285,True
9,24,14067,465.38968992233276,0.00013857700152032642,0.3758109624921246,0.30377264783234453,0.14346305370063867,0.0051774879390467975,0.004791333327297496,0.16286540804615557,0.26704236622887856,0.264494440834719,0.1575931466624894,0.0665086225218599,0.3431461388245225,0.27502815099433064,0.13584750797599554,0.0035523790647857822,0.0016611705104878638,0.15642115473747253,0.2593752909451723,0.2540815733373165,0.15187544422224164,0.06330641882959753,0.28944186121225357,0.4528278075158596,0.47519167233258486,0.2774336668662727,0.11570021533407271,0.3431461388245225,0.34346460923552513,True
10,24,15630,474.56823205947876,0.0001262524949877008,0.3707975691240412,0.2999644799638237,0.14106146854444412,0.005107173653109737,0.0046996454495557664,0.16101161312366707,0.26441121800199047,0.2614518818341229,0.15586175456385695,0.06572118892750904,0.34013643208891153,0.27268720930442214,0.13451888086274266,0.0034751176863210276,0.001602722655661637,0.15519674168899655,0.25911276042461395,0.2518725781701505,0.1508130580186844,0.06290457432623953,0.2978373970836401,0.4702313765883446,0.48807710222899914,0.28549315268173814,0.11994191515259445,0.34013643208891153,0.3431461388245225,True
