epoch,epochs,global_step,time_s,lr,train_loss,train_flow_loss,train_rec_loss,train_slope_loss,train_curvature_loss,train_mae,train_rmse,train_vp_mae,train_vs_mae,train_rho_mae,val_loss,val_flow_loss,val_rec_loss,val_slope_loss,val_curvature_loss,val_mae,val_rmse,val_vp_mae,val_vs_mae,val_rho_mae,val_sample_mae,val_sample_rmse,val_sample_vp_mae,val_sample_vs_mae,val_sample_rho_mae,selection_score,best_val_loss_before_epoch,is_best
1,24,1563,578.2103450298309,0.00019914876370669414,0.538731224401136,0.44593140974841056,0.18380831476594117,0.014055049535475782,0.019290548897636144,0.1499139515781967,0.24446294347559575,0.2427084219623512,0.12441873669586194,0.08261468104174408,0.4404367730021477,0.3613704275339842,0.1568629457615316,0.010064369242172688,0.013165020238375291,0.1349569857120514,0.2191284759901464,0.2202117065899074,0.1095201768912375,0.07513905665837228,0.2559089055284858,0.37049031257629395,0.41906674671918154,0.20563706243410707,0.14302288834005594,0.4404367730021477,inf,True
2,24,3126,642.673614025116,0.00019660961971576228,0.44877417600086233,0.37225350872950147,0.15161144719128417,0.011235504584554976,0.015316834415279933,0.13288216105044384,0.21682819239771373,0.21703751187864512,0.10787974196943197,0.07372921680458372,0.3995651574805379,0.33120162319391966,0.13555626524612308,0.009305923333158717,0.012010496022412553,0.12365144095383584,0.20252835052087903,0.20316082518547773,0.09911803784780204,0.06867545377463102,0.2319603031501174,0.34681699611246586,0.38867761194705963,0.17654591519385576,0.13065737136639655,0.3995651574805379,0.4404367730021477,True
3,24,4689,626.4093759059906,0.000192426013484873,0.4235787268677966,0.35202320817183474,0.1417549039098367,0.01067211667179432,0.014446092310694648,0.12729297482997884,0.20856217757792178,0.20875745744790622,0.10222334756026723,0.07089810804371566,0.3765197107568383,0.3124870005995035,0.1269497792236507,0.008893664635252208,0.011313384515233338,0.1190981122199446,0.1949817747808993,0.19689286965876818,0.09374606236815453,0.0666553956689313,0.21390065411105752,0.3229655073955655,0.35879149194806814,0.16091656079515815,0.12199390446767211,0.3765197107568383,0.3995651574805379,True
4,24,6252,594.6609771251678,0.00018666952767655164,0.40660734101891594,0.337937906107991,0.13602705560600764,0.010335027068014414,0.013915603119410426,0.1241076120288038,0.20371831500675155,0.2040446699809662,0.09901058077526184,0.06926757477638588,0.377390680834651,0.31345196440815926,0.1267988234758377,0.008613378580776043,0.010863766830880195,0.11785060097463429,0.19563988083973527,0.1940210065804422,0.09365063393488526,0.0658801527461037,0.21316855633631349,0.3258633203804493,0.35803867783397436,0.16081284964457154,0.12065410614013672,0.377390680834651,0.3765197107568383,False
5,24,7815,572.2474110126495,0.00017943865735897788,0.394859157478817,0.3282726484655342,0.13188927411861476,0.010121399920459977,0.013580172121291235,0.12182624862122368,0.20012722963792579,0.200563717797942,0.09683108950893007,0.06808392830331281,0.35549814719706774,0.2947107972577214,0.12051356746815145,0.008498214578139596,0.010565571923507378,0.11493858392350376,0.1904073334299028,0.19080558605492115,0.08904691156931221,0.06496324634645134,0.2081664176657796,0.318304305896163,0.35047559160739183,0.1557543659582734,0.11826928239315748,0.35549814719706774,0.3765197107568383,True
6,24,9378,596.0631458759308,0.00017085712472806146,0.3843550082970642,0.31999814914574015,0.1274547619329228,0.009931579322190104,0.01328992860788576,0.119270311698308,0.19642766758141728,0.19665054596545828,0.09442054038904298,0.06673983990030645,0.3434764603152871,0.2838890878483653,0.11812992230989039,0.00835799028573092,0.010451132606249303,0.11356002511456609,0.1874079699628055,0.188811213709414,0.08815093198791146,0.06371791905257851,0.2104665320366621,0.3219183646142483,0.35461415257304907,0.1574454908259213,0.11933993361890316,0.3434764603152871,0.35549814719706774,True
7,24,10941,574.4931292533875,0.0001610717621863677,0.3772375198868857,0.31375829794432825,0.12571474818735648,0.009815321468956107,0.013108159929051547,0.11815172186930517,0.19495044814533555,0.19499007341233263,0.09325914209326032,0.06620594073070293,0.33818111568689346,0.27978100115433335,0.11577621288597584,0.008216013899073005,0.010120848106453195,0.11209351220168173,0.18525948282331228,0.18667210172861814,0.08615486673079431,0.06345356220845133,0.20057414891198277,0.30779209546744823,0.3389107510447502,0.14794297236949205,0.11486870469525456,0.33818111568689346,0.3434764603152871,True
8,24,12504,579.5351629257202,0.00015025,0.37077125178570175,0.30872659107773864,0.1228591665882982,0.009711311312579452,0.012951193569837018,0.11661976870442535,0.19261229431026652,0.1928473564290268,0.09155408275371474,0.06545785909145593,0.3296089172363281,0.2733370312489569,0.11152624292299151,0.008157542397384532,0.010088333423482254,0.10972981667146087,0.18169286521151662,0.18224026402458549,0.08508286043070257,0.06186631799209863,0.20390160521492362,0.312201258726418,0.34372154995799065,0.15229281410574913,0.11569043109193444,0.3296089172363281,0.33818111568689346,True
9,24,14067,539.2725057601929,0.00013857700152032642,0.3654412610822203,0.30416755819656266,0.12132595437063441,0.009645208637739554,0.012846499023052148,0.11579709731266427,0.19140293987340373,0.19168739633840853,0.09069282086286039,0.06501106658780033,0.3241118872538209,0.2688021119683981,0.1096130795776844,0.008079948034719564,0.009924264333676547,0.10883780336007476,0.1813781182281673,0.18197278678417206,0.08299837028607726,0.06154224940109998,0.20060008158907294,0.31021917425096035,0.3417930072173476,0.14444708870723844,0.11556013976223767,0.3241118872538209,0.3296089172363281,True
10,24,15630,529.2304277420044,0.0001262524949877008,0.3601408506995657,0.29969920157928615,0.11967250843957229,0.009562676862449465,0.012726050255175439,0.11462648577573432,0.18977796758738985,0.18988908656651746,0.08953462205994075,0.06445573998933332,0.32553222496062517,0.2690842873416841,0.11189856310375035,0.008005394149222411,0.00983846461167559,0.10951926675625145,0.18229618901386857,0.18311041267588735,0.08320195158012211,0.06224542809650302,0.200602606870234,0.3108910033479333,0.3408559849485755,0.144981668330729,0.11597015475854278,0.32553222496062517,0.3241118872538209,False
