disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
nan,DI-Weak,1.0,2613,ok,0.11492098122835159
0.0059549624420119135,QEDisp m0 multistart,nan,2634,ok,0.1253709805425164
nan,DI-Strong,0.6307053941908713,2634,ok,0.13510817289352417
nan,DI-Weak,0.946058091286307,2634,ok,0.14339333772659302
0.005502761700454664,QEDisp m0 multistart,nan,2697,ok,0.07277861809827639
nan,DI-Strong,0.8879668049792531,2697,ok,0.07499069720506668
nan,DI-Weak,0.8962655601659751,2697,ok,0.128495454788208
0.006142041013123539,QEDisp m0 multistart,nan,2813,ok,0.06342765507248599
nan,DI-Strong,0.8630705394190872,2813,ok,0.0902431532740593
nan,DI-Weak,0.91701244813278,2813,ok,0.09486372023820877
0.007242099140113061,QEDisp m0 multistart,nan,2816,ok,0.06523104730970261
nan,DI-Strong,0.6431535269709544,2816,ok,0.08856065571308136
nan,DI-Weak,0.7593360995850622,2816,ok,0.13148728013038635
0.004935490893314786,QEDisp m0 multistart,nan,2835,ok,0.10353487785340158
nan,DI-Strong,0.5892116182572614,2835,ok,0.0949212834239006
nan,DI-Weak,0.8630705394190872,2835,ok,0.10607815533876419
0.007553297849688029,QEDisp m0 multistart,nan,3197,ok,0.057332876698189796
nan,DI-Strong,0.8713692946058091,3197,ok,0.12647037208080292
nan,DI-Weak,0.950207468879668,3197,ok,0.1178126335144043
0.006363436498424966,QEDisp m0 multistart,nan,3291,ok,0.0445020463457361
nan,DI-Strong,0.5020746887966805,3291,ok,0.12395206093788147
nan,DI-Weak,0.946058091286307,3291,ok,0.15722739696502686
0.003733770749507289,QEDisp m0 multistart,nan,3388,ok,0.0821581644791572
nan,DI-Strong,0.6224066390041494,3388,ok,0.10070173442363739
nan,DI-Weak,0.995850622406639,3388,ok,0.07439099997282028
0.0031320134904100337,QEDisp m0 multistart,nan,3546,ok,0.0990650915703997
nan,DI-Strong,0.49377593360995853,3546,ok,0.12528663873672485
nan,DI-Weak,0.8921161825726142,3546,ok,0.15162760019302368
0.005026504869422924,QEDisp m0 multistart,nan,3559,ok,0.07512750453399998
nan,DI-Strong,0.8506224066390041,3559,ok,0.09783092141151428
nan,DI-Weak,0.970954356846473,3559,ok,0.09957848489284515
0.004455553247589346,QEDisp m0 multistart,nan,3785,ok,0.08761579505204223
nan,DI-Strong,0.6763485477178424,3785,ok,0.10572609305381775
nan,DI-Weak,0.991701244813278,3785,ok,0.09160885214805603
0.006643645728989868,QEDisp m0 multistart,nan,3805,ok,0.1372568213216095
nan,DI-Strong,0.6804979253112033,3805,ok,0.11186757683753967
nan,DI-Weak,0.6141078838174274,3805,ok,0.19684217870235443
0.012670876106432884,QEDisp m0 multistart,nan,4046,ok,0.07819284751859905
nan,DI-Strong,0.4896265560165975,4046,ok,0.11477379500865936
nan,DI-Weak,1.0,4046,ok,0.10383830964565277
0.006772095536469303,QEDisp m0 multistart,nan,4124,ok,0.08570546181949978
nan,DI-Strong,0.7261410788381742,4124,ok,0.11437501013278961
nan,DI-Weak,0.9626556016597511,4124,ok,0.10364682972431183
0.02389742500598957,QEDisp m0 multistart,nan,4215,ok,0.15689401252853394
nan,DI-Strong,0.4730290456431535,4215,ok,0.12222559005022049
nan,DI-Weak,0.9128630705394191,4215,ok,0.14835722744464874
0.006080644325271053,QEDisp m0 multistart,nan,4427,ok,0.07362092243401439
nan,DI-Strong,0.6970954356846473,4427,ok,0.10644605755805969
nan,DI-Weak,0.983402489626556,4427,ok,0.08888651430606842
0.004221505542792065,QEDisp m0 multistart,nan,4472,ok,0.08129647984041616
nan,DI-Strong,0.4730290456431535,4472,ok,0.15088637173175812
nan,DI-Weak,0.9087136929460581,4472,ok,0.12105149775743484
0.007431301539920114,QEDisp m0 multistart,nan,4555,ok,0.08850173146089368
nan,DI-Strong,0.5435684647302904,4555,ok,0.11974828690290451
nan,DI-Weak,0.979253112033195,4555,ok,0.10684452950954437
0.009412007536107679,QEDisp m0 multistart,nan,4670,ok,0.09379094815365585
nan,DI-Strong,0.7385892116182573,4670,ok,0.11318306624889374
nan,DI-Weak,0.975103734439834,4670,ok,0.09575673937797546
0.004051770693008216,QEDisp m0 multistart,nan,4695,ok,0.09547142891123125
nan,DI-Strong,0.7053941908713693,4695,ok,0.10495778918266296
nan,DI-Weak,0.995850622406639,4695,ok,0.08469519019126892
0.010498024192226512,QEDisp m0 multistart,nan,4724,ok,0.13490643441784936
nan,DI-Strong,0.7468879668049793,4724,ok,0.08059567213058472
nan,DI-Weak,1.0,4724,ok,0.11041134595870972
0.008814706984420488,QEDisp m0 multistart,nan,4805,ok,0.07276259268767066
nan,DI-Strong,0.921161825726141,4805,ok,0.09065937995910645
nan,DI-Weak,0.9626556016597511,4805,ok,0.08182501047849655
0.00999079350829426,QEDisp m0 multistart,nan,4989,ok,0.053947651253326796
nan,DI-Strong,0.8506224066390041,4989,ok,0.09316810220479965
nan,DI-Weak,0.9336099585062241,4989,ok,0.09783025830984116
0.008166696646106357,QEDisp m0 multistart,nan,5077,ok,0.08999715385769298
