disp_best_mae_km_s,disp_best_matched_points,disp_best_rms_km_s,fitness_min,lambda_reg,lat,lon,niter_median,num_init_requested,num_pred,num_valid,runtime_s,site_index,status,vs_mean_mae_km_s,vs_median_bias_km_s,vs_median_mae_km_s,vs_width,z_sample_max_km
0.0068526859143069885,24,0.00945182980774657,0.00013616296849755904,0.01,21.0,100.0,12.0,64,51,51,1.265575885772705,2,ok,0.06964924911883583,-0.06208272737550594,0.09020265183745489,1.2,120.0
0.008262578761022118,24,0.009959733222280548,0.0001880194363562024,0.01,22.600000381469727,100.0,14.0,64,52,52,1.464829921722412,7,ok,0.0752505825128227,-0.035652100072432566,0.08990345319497733,1.2,120.0
0.005774305695359651,17,0.00739468186730332,0.00012032239901931213,0.01,28.799999237060547,100.19999694824219,18.0,64,53,53,1.6104092597961426,153,ok,0.1845743334609695,-0.16978696811475377,0.2012969879188655,1.2,120.0
0.013562132542907194,17,0.015493071262081725,0.0003251223864626113,0.01,37.20000076293945,100.4000015258789,15.5,64,54,54,1.402785062789917,296,ok,0.11667688765371897,-0.08495839440890236,0.1270459435826149,1.2,120.0
0.00911763973632762,24,0.011079190631442559,0.00015524359290169744,0.01,46.20000076293945,100.4000015258789,12.0,64,55,55,1.5631890296936035,331,ok,0.11482672369468884,-0.028104072681842104,0.11851754207818277,1.2,120.0
0.00831683265311535,17,0.00939884982350003,0.0001896303869325435,0.01,30.799999237060547,100.80000305175781,14.0,64,52,52,1.29551100730896,493,ok,0.14537296888575027,-0.08355064468812605,0.15240337460240752,1.2,120.0
0.005368164957241174,17,0.006983022090134214,6.010764610954869e-05,0.01,38.79999923706055,101.0,10.0,64,50,50,1.1520977020263672,658,ok,0.0953414631991293,-0.07048793273800168,0.1113748950900917,1.2,120.0
0.008916895305865443,24,0.010588913759880246,0.00016343743349383154,0.01,43.79999923706055,101.19999694824219,13.0,64,52,52,1.303992748260498,786,ok,0.10513801553721619,0.036414740306138685,0.10381510518322214,1.2,120.0
0.003814218993558526,17,0.004432723266483772,0.00010213881210598106,0.01,38.0,101.5999984741211,13.0,64,53,53,1.3194730281829834,992,ok,0.10970882071724683,-0.07105456051305557,0.1080111668006791,1.2,120.0
0.004285042283100762,17,0.005047145260514645,4.113615654297938e-05,0.01,42.0,101.5999984741211,11.0,64,51,51,0.984752893447876,1009,ok,0.07419051728013028,0.03243235805391066,0.06753310563171339,1.2,120.0
0.0037302941517229644,17,0.004783387950930154,2.931589697386668e-05,0.01,23.399999618530273,101.80000305175781,12.0,64,51,51,1.4437718391418457,1040,ok,0.08492032689319531,-0.024233980225027908,0.08207305082620825,1.2,120.0
0.005232683636596804,17,0.00621468427573655,6.614970871736482e-05,0.01,32.79999923706055,101.80000305175781,15.5,64,50,50,1.36317777633667,1087,ok,0.13118996599170474,-0.13479647445690682,0.14381177120641817,1.2,120.0
0.008379886593869882,24,0.012123962420109633,0.00020518330272831215,0.01,24.600000381469727,102.0,14.0,64,52,52,1.7158451080322266,1148,ok,0.10958270428455019,-0.07394488487823106,0.1185490793972431,1.2,120.0
0.013847228495631025,17,0.01602082367321898,0.00039772973370649203,0.01,36.79999923706055,102.0,17.0,64,53,53,1.6683368682861328,1209,ok,0.20349585656000885,-0.013598877170475062,0.20913891303733614,1.2,120.0
