euler_steps,input_mode,mean_vs_p05_p95_width_km_s,mean_vs_p16_p84_width_km_s,mean_vs_std_km_s,method,n_test,period_max,period_min,posterior_samples,prior,rho_mae_g_cm3,runtime_s,vp_mae_km_s,vs_05_95_coverage,vs_16_84_coverage,vs_mae_km_s,vs_rmse_km_s
24,rayleigh,0.2792412042617798,0.17074283957481384,0.08775904029607773,DI-Strong,128,60.0,2.0,64,strong,0.07887455821037292,80.92145895957947,0.22875815629959106,0.844757080078125,0.641387939453125,0.07858844846487045,0.11829713732004166
24,love,0.29459938406944275,0.18125954270362854,0.09312470257282257,DI-Strong,128,60.0,2.0,64,strong,0.09183965623378754,80.7120099067688,0.26134350895881653,0.821624755859375,0.619873046875,0.08521655201911926,0.12053874135017395
24,joint,0.27372580766677856,0.16820846498012543,0.08627869933843613,DI-Strong,128,60.0,2.0,64,strong,0.07888700067996979,80.39660429954529,0.2274015247821808,0.851287841796875,0.648223876953125,0.07568350434303284,0.11004281044006348
24,rayleigh,0.48088338971138,0.29518020153045654,0.15181444585323334,DI-Weak,128,60.0,2.0,64,weak,0.058213114738464355,81.97887396812439,0.23614910244941711,0.8248291015625,0.618072509765625,0.14460857212543488,0.203862264752388
24,love,0.5457016825675964,0.3363358974456787,0.17227864265441895,DI-Weak,128,60.0,2.0,64,weak,0.06898437440395355,81.41008400917053,0.2833014130592346,0.79766845703125,0.586029052734375,0.1705847829580307,0.2348441332578659
24,joint,0.4799812436103821,0.29498299956321716,0.1517195850610733,DI-Weak,128,60.0,2.0,64,weak,0.05676231533288956,82.45548987388611,0.23170362412929535,0.819793701171875,0.614776611328125,0.1417309194803238,0.19588550925254822
